"";"sku_item_set";"supplier_product_number";"supplier_product_name";"quantity";"supplier";"npp";"supplier_currency";"ppp";"ppp_original";"net_weight";"supplier_ean";"customs_id";"inbound_transport_costs";"payment_days";"eco_tax_incl_ppp";"quantity_supplier_product";"eco_mobilier_code";"eco-tax_amount";"ignore_line"
"";"DE16RDC05-166-A";"4340911";"Shape Vase, weiß, H 17 cm";"1";"Rosendahl";"17.38";"EUR";"17.38";"17.38";"600";"5705140119760";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-167-A";"4343805";"Old English Vase, 60 cm";"1";"Rosendahl";"86.65";"EUR";"86.65";"86.65";"4500";"5706422999384";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-168-A";"4343801";"Old English Blumenschale, 25 cm";"1";"Rosendahl";"27.82";"EUR";"27.82";"27.82";"890";"5706422999247";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-169-A";"4343800";"Old English Blumenschale, 19 cm";"1";"Rosendahl";"18.77";"EUR";"18.77";"18.77";"740";"5706422999230";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-170-A";"4343803";"Old English Vase, 24 cm";"1";"Rosendahl";"27.82";"EUR";"27.82";"27.82";"1430";"5706422999254";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-171-A";"4343802";"Old English Vase, 19 cm";"1";"Rosendahl";"18.77";"EUR";"18.77";"18.77";"1230";"5706422999261";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-172-A";"4330401";"Minima Karaffe mit Deckel, klar, 55 cl";"1";"Rosendahl";"8.68";"EUR";"8.68";"8.68";"400";"5706422910112";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-173-A";"4330402";"Minima Karaffe mit Deckel, klar, 90 cl";"1";"Rosendahl";"9.73";"EUR";"9.73";"9.73";"500";"5706422910129";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-174-A";"4330403";"Minima Karaffe mit Deckel, klar, 140 cl";"1";"Rosendahl";"12.16";"EUR";"12.16";"12.16";"600";"5706422910136";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-175-A";"4340421";"Selandia Glasschale, blau, 31 cm";"1";"Rosendahl";"60.90";"EUR";"60.90";"60.90";"1810";"5705140399179";"";"0";"60";"";"";"";"";"0"
